Application Number,Voucher Number,Child Age (at time of Application),Gender,Has your child played sport before?,Participation Activity,Club Name,Club Suburb/Town,Club Local Government Area Name,Club State Electoral District  Name,Parent Suburb/Town,Total Payment
2000001253,IEB3M030,11,,Yes,BMX Bicycle Motocross,Cooloola BMX Club Incorporated,Gympie,Gympie (R),Gympie,The Palms,150
2000013655,H6U59D4S,10,,Yes,BMX Bicycle Motocross,Bayside BMX Club Inc,Wynnum West,Brisbane (C),Lytton,Lota,133
2000008528,913YMFQ3,7,,Yes,BMX Bicycle Motocross,Rockhampton BMX Club Inc,Rockhampton,Rockhampton (R),Rockhampton,Pink Lily,137.81
2000005003,YXY2F3YQ,7,,Yes,BMX Bicycle Motocross,Beenleigh BMX Club Inc,Beenleigh,Logan (C),Waterford,Eagleby,150
2000006997,08GPX1V3,7,,Yes,BMX Bicycle Motocross,Centenary Plains BMX Club Inc,Browns Plains,Logan (C),Logan,Beaudesert,138
2000005032,UB5I6O06,8,,No,BMX Bicycle Motocross,Ashmore BMX Club Inc,Ashmore,Gold Coast (C),Southport,Coomera,138
2000007798,4GKYBWV0,8,,Yes,BMX Bicycle Motocross,Centenary Plains BMX Club Inc,Browns Plains,Logan (C),Logan,Jimboomba,138
2000012590,PSDET7Y6,9,,Yes,BMX Bicycle Motocross,Ashmore BMX Club Inc,Ashmore,Gold Coast (C),Southport,Helensvale,138
2000007542,55NVK8KV,9,,Yes,BMX Bicycle Motocross,Redlands BMX Club Inc,Capalaba,Redland (C),Capalaba,Mount Cotton,138
2000009279,BT8JDUQW,10,,Yes,BMX Bicycle Motocross,Caboolture and Districts BMX Club Incorporated,Morayfield,Moreton Bay (R),Morayfield,Strathpine,138
2000007105,FDY6UU4A,11,,Yes,BMX Bicycle Motocross,Centenary Plains BMX Club Inc,Browns Plains,Logan (C),Logan,Jimboomba,138
2000004950,TLURXTVA,13,,Yes,BMX Bicycle Motocross,Ashmore BMX Club Inc,Ashmore,Gold Coast (C),Southport,Carrara,138
2000007108,UB3RR9UQ,14,,Yes,BMX Bicycle Motocross,Centenary Plains BMX Club Inc,Browns Plains,Logan (C),Logan,Jimboomba,138
2000006341,3B62Q3OU,7,,Yes,BMX Bicycle Motocross,Atherton BMX Club Inc,Atherton,Tablelands (R),Dalrymple,Tolga,140
2000000566,4N9NMGBM,6,,Yes,BMX Bicycle Motocross,Bayside BMX Club Inc,Wynnum West,Brisbane (C),Lytton,Wynnum West,142
2000005304,IWXEQPVP,6,,Yes,BMX Bicycle Motocross,Logan City BMX Academy Inc,Browns Plains,Logan (C),Logan,Slacks Creek,148
2000001825,IZ5GPIR4,9,,Yes,BMX Bicycle Motocross,Bayside BMX Club Inc,Wynnum West,Brisbane (C),Lytton,Wynnum West,148
2000001838,T24XA270,5,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Glenview,150
2000003994,L68227LO,6,,No,BMX Bicycle Motocross,Caboolture and Districts BMX Club Incorporated,Morayfield,Moreton Bay (R),Morayfield,Morayfield,150
2000000783,046PFVF2,6,,No,BMX Bicycle Motocross,Maryborough BMX Club Inc,Tinana,Fraser Coast (R),Maryborough,Maryborough,150
2000007030,3QY28XEL,6,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Sippy Downs,150
2000000692,M6OPDZ4E,8,,No,BMX Bicycle Motocross,Maryborough BMX Club Inc,Tinana,Fraser Coast (R),Maryborough,Maryborough,150
2000002779,CZE9NKUD,8,,Yes,BMX Bicycle Motocross,Caboolture and Districts BMX Club Incorporated,Morayfield,Moreton Bay (R),Morayfield,Deception Bay,150
2000000577,5GZ4CM7C,9,,No,BMX Bicycle Motocross,Maryborough BMX Club Inc,Tinana,Fraser Coast (R),Maryborough,Maryborough,150
2000001129,AGCF2OXF,9,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Kings Beach,150
2000004558,RDCON499,10,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Currumundi,150
2000013389,6H9C18O8,11,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Mooloolaba,150
2000006196,37EIHH1G,12,,Yes,BMX Bicycle Motocross,Maryborough BMX Club Inc,Tinana,Fraser Coast (R),Maryborough,Tinana,150
2000007149,FOLLGWYQ,12,,Yes,BMX Bicycle Motocross,Townsville BMX Club Inc,Idalia,Townsville (C),Burdekin,Bushland Beach,150
2000004575,025U4RG7,15,,Yes,BMX Bicycle Motocross,Suncoast Hinterland BMX Club Inc,Mooloolah,Sunshine Coast (R),Caloundra,Currumundi,150
2000002945,VKU89ERB,8,,Yes,BMX Bicycle Motocross,Sunshine Coast BMX Club Inc,Yandina,Sunshine Coast (R),Nicklin,Coolum,150
2000008616,7C2UPOCM,9,,No,BMX Bicycle Motocross,Sunshine Coast BMX Club Inc,Yandina,Sunshine Coast (R),Nicklin,Yandina,150
2000000483,MTU9XGTC,9,,Yes,BMX Bicycle Motocross,Bayside BMX Club Inc,Wynnum West,Brisbane (C),Lytton,Seven Hills,150
2000000580,KPY74LIH,9,,Yes,BMX Bicycle Motocross,Bayside BMX Club Inc,Wynnum West,Brisbane (C),Lytton,Seven Hills,150
2000000064,DG1NL9MK,10,,Yes,BMX Bicycle Motocross,Sunshine Coast BMX Club Inc,Yandina,Sunshine Coast (R),Nicklin,Mount Coolum,150
2000002965,MFX6XTZC,10,,Yes,BMX Bicycle Motocross,Sunshine Coast BMX Club Inc,Yandina,Sunshine Coast (R),Nicklin,Coolum,150
2000006419,X5K2J6QT,7,,No,BMX Bicycle Motocross,Townsville BMX Club Inc,Idalia,Townsville (C),Burdekin,West End,150
2000010198,7Y80P32D,8,,No,BMX Bicycle Motocross,Townsville BMX Club Inc,Idalia,Townsville (C),Burdekin,Idalia,150
2000010195,UGKX7CMR,10,,Yes,BMX Bicycle Motocross,Townsville BMX Club Inc,Idalia,Townsville (C),Burdekin,Idalia,150
2000000539,Q6179LMC,12,,Yes,BMX Bicycle Motocross,Pine Rivers BMX Club Inc,Brendale,Moreton Bay (R),Pine Rivers,Draper,150
2000001576,X35Y4CUZ,12,,Yes,BMX Bicycle Motocross,Pine Rivers BMX Club Inc,Brendale,Moreton Bay (R),Pine Rivers,Eatons Hill,150
2000000609,OND461GP,16,,Yes,BMX Bicycle Motocross,Pine Rivers BMX Club Inc,Brendale,Moreton Bay (R),Pine Rivers,Draper,150
2000003058,1L0ATJTV,5,,Yes,BMX Bicycle Motocross,Pine Rivers BMX Club Inc,Brendale,Moreton Bay (R),Pine Rivers,Albany Creek,150
2000010640,LM0I1P7D,12,,No,BMX Bicycle Motocross,Pine Rivers BMX Club Inc,Brendale,Moreton Bay (R),Pine Rivers,Ferny Hills,150
2000007421,RA97IOFW,11,,Yes,Body Boarding,Sunshine Coast Bodyboard Club Inc,Mooloolaba,Sunshine Coast (R),Maroochydore,Peregian Beach,150
2000007417,WLSVN2DX,13,,Yes,Body Boarding,Sunshine Coast Bodyboard Club Inc,Mooloolaba,Sunshine Coast (R),Maroochydore,Peregian Beach,150
2000005646,W7A0D0AI,14,,Yes,Body Boarding,Sunshine Coast Bodyboard Club Inc,Mooloolaba,Sunshine Coast (R),Maroochydore,Buddina,150
2000000117,4DH1PMVD,14,,Yes,Bowls Lawn,Kenilworth Bowling Club Incorporated,Kenilworth,Sunshine Coast (R),Nicklin,Coolabine,30
2000010156,YE297B7G,6,,No,Boxing,Queensland Police-Citizens Youth Welfare Association,Nerang,Gold Coast (C),Gaven,Pacific Pines,150
2000007717,AAVGQUU8,6,,Yes,Boxing,Queensland Police-Citizens Youth Welfare Association,Caboolture,Moreton Bay (R),Glass House,Morayfield,150
2000009802,ZAW1XFKE,8,,No,Boxing,Queensland Police-Citizens Youth Welfare Association,Caboolture,Moreton Bay (R),Glass House,Caboolture,150
2000000752,J1884KGJ,9,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Clevaland,150
2000002715,X6H27ONL,9,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Inala,Brisbane (C),Inala,Tarragindi,150
2000004260,LII3363K,9,,No,Boxing,Queensland Police-Citizens Youth Welfare Association,Nerang,Gold Coast (C),Gaven,Nerang,150
2000003371,8T5B0ZH0,10,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Eagleby,150
2000004254,45WC6S6N,11,,Yes,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Beenleigh,150
2000006706,2WPQAA8B,11,,Yes,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Eagleby,150
2000006715,GUJ1MLVH,11,,Yes,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Eagleby,150
2000004794,WSW2123R,12,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Inala,Brisbane (C),Inala,Tarragindi,150
2000003408,YTSTAHWQ,13,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Loganholme,150
2000003421,1NIQHDCM,14,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Loganholme,150
2000007156,HQGR0L9L,14,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Ormeau,150
2000010114,MJ4AMXLK,14,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Cornubia,150
2000009100,6R8KSRU9,14,,Yes,Boxing,Queensland Police-Citizens Youth Welfare Association,Caboolture,Moreton Bay (R),Glass House,Sandstone Point,150
2000000926,F4TXE3MN,16,,No,Boxing,Queensland Police Citizens Youth Welfare Association,Beenleigh,Logan (C),Waterford,Beenleigh,150
2000000632,TVFINV5Y,16,,No,Boxing,Queensland Police-Citizens Youth Welfare Association,Aitkenvale,Townsville (C),Mundingburra,Kirwan,150
2000003451,5OT1BK8J,16,,Yes,Boxing,Queensland Police-Citizens Youth Welfare Association,Rasmussen,Townsville (C),Thuringowa,Kelso,150
2000005266,VBQFLMHX,13,,No,Boxing,Kawana Boxing Club Inc,Kawana,Sunshine Coast (R),Kawana,Wurtulla,150
2000007469,TS3SLKC0,13,,No,Boxing,Kawana Boxing Club Inc,Kawana,Sunshine Coast (R),Kawana,Bokarina,150
2000002833,JI61Q39Z,17,,Yes,Broomball,North Queensland Broomball Association Inc,Currajong,Townsville (C),Townsville,Mutarnee,150
2000002459,3VV47NNH,5,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kearneys Spring,150
2000004362,32QJFECJ,5,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hervey Range,150
2000002601,OWOO8RXY,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Pacific Pines,150
2000002964,1EAUPZA4,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Goodna,150
2000004868,PBLNPA17,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Morayfield,150
2000005777,QHVKS167,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Logan Reserve,150
2000005845,WJBAS2OV,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Beerwah,150
2000008169,7PIQL161,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Forest Lake,150
2000008611,7QYLX68I,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Mudgeeraba,150
2000009882,TSFIXWFX,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Arundel,150
2000010339,H705O5TP,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Toowoomba,150
2000011374,X2H91JLT,6,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Coomera,150
2000006470,9IE8JA6Z,6,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Dayboro,150
2000007190,5DWB5989,6,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Tingalpa,150
2000008435,L0J4M73S,6,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Goodna,150
2000009227,7WJVX0X3,6,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kelso,150
2000013240,SYEW144U,6,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Tarragindi,150
2000000810,FR0EER8S,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Maryborough,150
2000001071,NF970TY8,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kuluin,150
2000001340,5A0PS79X,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Mount Nathan,150
2000002619,GHCIZJ7J,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Slacks Creek,150
2000006641,9DWUW067,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Camira,150
2000010496,QS0GS1OY,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Burpengary,150
2000010536,0R0Z709N,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Ormeau,150
2000011370,5H7VI3S3,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Newtown,150
2000012849,6B8M2CVX,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kooralbyn,150
2000012980,5FBKZLSV,7,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Coombabah,150
2000001088,QDWHHN5G,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,East Toowoomba,150
2000001969,673EMUSV,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Deception Bay,150
2000002846,29K8DL56,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Wynnum West,150
2000002922,D4XF1ADY,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Granville,150
2000003769,PKCN0XHB,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Petrie,150
2000004120,TEI57BBL,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Churchill,150
2000004359,59J0E971,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hervey Range,150
2000004749,0UBVT523,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Warwick,150
2000004893,FJR9UXXZ,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Crows Nest,150
2000007359,DOOWL8UM,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Greenbank,150
2000007460,A5ENL7W2,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Springfield Lakes,150
2000008808,T7OMVB02,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Crows Nest,150
2000009779,10IFZCO8,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Yorkeys Knob,150
2000010164,LLEC2WJU,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kirwan,150
2000010184,A8ISRABA,7,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Clifton Beach,150
2000002956,2WT2492I,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Goodna,150
2000003320,438LB5SO,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Wynnum West,150
2000004303,PM06XEP2,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Wishart,150
2000005128,KLPS51RP,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Caboolture,150
2000008869,FIE96Y2N,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Mount Nathan,150
2000009868,QOFPARJL,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Arundel,150
2000012838,00LI1MDY,8,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Inala,150
2000004356,F31CFDQ6,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hervey Range,150
2000005132,21ZENGKO,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Toowoomba,150
2000005632,4QY7RAGQ,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Narangba,150
2000005687,9GHSDLSZ,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Underwood,150
2000006239,2GNL3L7P,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Bundaberg East,150
2000007065,UR6F0JSU,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Belvedere,150
2000008157,4J0RYUSY,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Forest Lake,150
2000008234,QU8YM7SB,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Birkdale,150
2000008486,B66HQ60A,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Redbank Plains,150
2000008621,3WNT6EM6,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Jimboomba,150
2000010004,SU72KYPT,8,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Birkdale,150
2000004163,MGUSKNFJ,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Newtown,150
2000004394,OZL9O2IO,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Crows Nest,150
2000004865,WUR278DB,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Morayfield,150
2000005818,ZRHQAU12,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Deception Bay,150
2000006131,IM41VEM8,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Toowoomba,150
2000006446,FRTWSAEG,9,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Cornubia,150
2000001967,QP1WH6I8,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Buderim,150
2000002035,Y7TGR0RH,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Redland Bay,150
2000002506,JQLOTOKL,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Gleneagle,150
2000003365,DF4SFJGD,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Toowoomba,150
2000004748,UBP73HJ7,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Warwick,150
2000005977,RHMWHIZJ,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Wynnum,150
2000009851,W3CQA74B,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Yorkeys Knob,150
2000011064,4TSX5LLR,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Alexandra Hills,150
2000013364,8AV28770,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Sippy Downs,150
2000013585,NWWB6KD3,9,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Buddina,150
2000001820,49MGV8TV,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Ferny Hills,150
2000004084,Z2CN0N7E,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Drayton,150
2000004862,O7V57QI7,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Morayfield,150
2000005817,AEO20GLB,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Deception Bay,150
2000006629,QISY5B6S,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Camira,150
2000007370,WCN5LW2R,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hillcrest,150
2000010181,TW055CPQ,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kirwan,150
2000012858,D4ANG2FS,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Kooralbyn,150
2000012921,6W4GNHY4,10,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Loganlea,150
2000000140,PL3SR4NU,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Gatton,150
2000002162,MCDK32R7,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Alice River,150
2000003617,HY5I0GW2,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Yungaburra,150
2000003767,PTJ2T5MW,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Petrie,150
2000005156,81C10HE1,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Postmans Ridge,150
2000005224,2NNB0FPT,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Miami,150
2000005634,EWCUY9D1,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Glenvale,150
2000007172,C116AK8A,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Tingalpa,150
2000007177,PXUVKSFE,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Tingalpa,150
2000012720,77LEK70B,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Woombye,150
2000013619,Z9P4Y3A7,10,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Greenbank,150
2000000537,26EOE8R3,11,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Manly West,150
2000002942,V4I3LO1W,11,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Caboolture,150
2000005127,0F2YXI8W,11,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Caboolture,150
2000008207,TOHKUOTS,11,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hemmant,150
2000010488,MHJXPJ8A,11,,No,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Burpengary,150
2000000452,KMKZE0K4,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Maryborough,150
2000002480,21S9L4MJ,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Talegalla Weir,150
2000003610,XIYC0QI7,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Alice River,150
2000004353,TBVMWO5M,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Hervey Range,150
2000005347,HM2ZXZRG,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Sherwood,150
2000005430,S87ALVB6,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Toowoomba,150
2000005685,U84AOFLG,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Underwood,150
2000005976,6C86GJQC,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Wynnum,150
2000007916,UO01R89S,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Greenbank,150
2000008763,HZOMWEQ3,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Victoria Point,150
2000008813,4LL5D43G,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Crows Nest,150
2000010304,WIJGFQYP,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Gympie,150
2000010523,4LVCLNMW,11,,Yes,Bushwalking,The Scout Association of Australia Queensland,Auchenflower,Brisbane (C),Mount Coot-tha,Ormeau,150
